"title","roles","person","born"
"That Thing You Do","Mr. White","Tom Hanks","1970"
"Joe Versus the Volcano","Joe Banks","Tom Hanks","1970"
"Sleepless in Seattle","Sam Baldwin","Tom Hanks","1970"
"You've Got Mail","Joe Fox","Tom Hanks","1970"
"Sleepless in Seattle","Suzy","Rita Wilson","1970"
"Sleepless in Seattle","Walter","Bill Pullman","1970"
"Sleepless in Seattle","Greg","Victor Garber","1970"
"A League of Their Own","Doris Murphy","Rosie O'Donnell","1970"
"Sleepless in Seattle","Becky","Rosie O'Donnell","1970"
"The Birdcage","Albert Goldman","Nathan Lane","1970"
"Joe Versus the Volcano","Baw","Nathan Lane","1970"
"When Harry Met Sally","Harry Burns","Billy Crystal","1970"
"When Harry Met Sally","Marie","Carrie Fisher","1970"
"When Harry Met Sally","Jess","Bruno Kirby","1970"
"That Thing You Do","Faye Dolan","Liv Tyler","1970"
"The Replacements","Annabelle Farrell","Brooke Langton","1970"
"Unforgiven","Little Bill Daggett","Gene Hackman","1970"
"The Birdcage","Sen. Kevin Keeley","Gene Hackman","1970"
"The Replacements","Jimmy McGinty","Gene Hackman","1970"
"The Replacements","Clifford Franklin","Orlando Jones","1970"
"RescueDawn","Dieter Dengler","Christian Bale","1970"
"Twister","Eddie","Zach Grenier","1970"
"RescueDawn","Squad Leader","Zach Grenier","1970"
"Unforgiven","English Bob","Richard Harris","1970"
"Unforgiven","Bill Munny","Clint Eastwood","1970"
"Johnny Mnemonic","Takahashi","Takeshi Kitano","1970"
"Johnny Mnemonic","Jane","Dina Meyer","1970"
"Johnny Mnemonic","J-Bone","Ice-T","1970"
"Cloud Atlas","Luisa Rey;Jocasta Ayrs;Ovid;Meronym","Halle Berry","1970"
"Cloud Atlas","Vyvyan Ayrs;Captain Molyneux;Timothy Cavendish","Jim Broadbent","1970"
"The Da Vinci Code","Sir Leight Teabing","Ian McKellen","1970"
"The Da Vinci Code","Sophie Neveu","Audrey Tautou","1970"
"The Da Vinci Code","Silas","Paul Bettany","1970"
"V for Vendetta","Evey Hammond","Natalie Portman","1970"
"V for Vendetta","Eric Finch","Stephen Rea","1970"
"V for Vendetta","High Chancellor Adam Sutler","John Hurt","1970"
"Ninja Assassin","Ryan Maslow","Ben Miles","1970"
"Speed Racer","Cass Jones","Ben Miles","1970"
"V for Vendetta","Dascomb","Ben Miles","1970"
"Speed Racer","Speed Racer","Emile Hirsch","1970"
"Speed Racer","Pops","John Goodman","1970"
"Speed Racer","Mom","Susan Sarandon","1970"
"Speed Racer","Racer X","Matthew Fox","1970"
"Speed Racer","Trixie","Christina Ricci","1970"
"Ninja Assassin","Raizo","Rain","1970"
"Speed Racer","Taejo Togokahn","Rain","1970"
"Ninja Assassin","Mika Coretti","Naomie Harris","1970"
"The Green Mile","John Coffey","Michael Clarke Duncan","1970"
"The Green Mile","Brutus 'Brutal' Howell","David Morse","1970"
"Frost/Nixon","James Reston, Jr.","Sam Rockwell","1970"
"The Green Mile","Wild Bill' Wharton","Sam Rockwell","1970"
"Apollo 13","Ken Mattingly","Gary Sinise","1970"
"The Green Mile","Burt Hammersmith","Gary Sinise","1970"
"The Green Mile","Melinda Moores","Patricia Clarkson","1970"
"Frost/Nixon","Richard Nixon","Frank Langella","1970"
"Frost/Nixon","David Frost","Michael Sheen","1970"
"Bicentennial Man","Rupert Burns","Oliver Platt","1970"
"Frost/Nixon","Bob Zelnick","Oliver Platt","1970"
"One Flew Over the Cuckoo's Nest","Martini","Danny DeVito","1970"
"Hoffa","Robert 'Bobby' Ciaro","Danny DeVito","1970"
"Hoffa","Peter 'Pete' Connelly","John C. Reilly","1970"
"Apollo 13","Gene Kranz","Ed Harris","1970"
"A League of Their Own","Bob Hinson","Bill Paxton","1970"
"Twister","Bill Harding","Bill Paxton","1970"
"Apollo 13","Fred Haise","Bill Paxton","1970"
"Charlie Wilson's War","Gust Avrakotos","Philip Seymour Hoffman","1970"
"Twister","Dustin 'Dusty' Davis","Philip Seymour Hoffman","1970"
"Something's Gotta Give","Erica Barry","Diane Keaton","1970"
"Charlie Wilson's War","Joanne Herring","Julia Roberts","1970"
"A League of Their Own","All the Way' Mae Mordabito","Madonna","1970"
"A League of Their Own","Dottie Hinson","Geena Davis","1970"
"A League of Their Own","Kit Keller","Lori Petty","1970"
